City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
2467368,Sajanan,TN,1612983822,37.0573,9.2426,40,82,60.8,20.71
2610806,Vágur,FO,1612983823,61.4732,-6.8119,73,79,36.1,11.65
1028434,Quelimane,MZ,1612983823,-17.8786,36.8883,20,69,78.8,4.09
1504380,Kargat,RU,1612983823,55.1956,80.2811,17,86,-23.96,7.7
300371,Soma,TR,1612983824,39.1855,27.6094,40,76,53.6,5.75
3369157,Cape Town,ZA,1612983751,-33.9258,18.4232,0,78,72.0,17.27
2121385,Severo-Kuril'sk,RU,1612983824,50.6789,156.125,100,88,25.9,6.64
2189343,Kaeo,NZ,1612983825,-35.1,173.7833,100,96,62.01,5.01
4513583,Hamilton,US,1612983774,39.1834,-84.5333,90,80,23.0,9.22
3424607,Tasiilaq,GL,1612983825,65.6145,-37.6368,75,41,14.0,2.3
1264621,Madanapalle,IN,1612983825,13.55,78.5,27,77,61.2,4.05
3430863,Mar del Plata,AR,1612983562,-38.0023,-57.5575,40,73,71.6,24.16
178443,Wajir,KE,1612983826,1.7471,40.0573,1,29,91.4,10.27
3359638,Walvis Bay,NA,1612983647,-22.9575,14.5053,100,82,68.0,9.22
4016734,Bucerías,MX,1612983826,20.75,-105.3333,1,64,73.4,11.5
2501152,Constantine,DZ,1612983827,36.365,6.6147,40,76,53.6,8.05
1267390,Kavaratti,IN,1612983827,10.5669,72.642,15,66,81.3,10.07
2015306,Tiksi,RU,1612983827,71.6872,128.8694,100,88,-14.67,2.3
5847486,Kailua,US,1612983827,21.4022,-157.7394,75,49,73.4,12.66
5880054,Barrow,US,1612983809,71.2906,-156.7887,75,69,-22.0,10.36
3353871,Otjimbingwe,NA,1612983828,-22.35,16.1333,100,73,74.14,9.98
1106643,Quatre Cocos,MU,1612983828,-20.2078,57.7625,40,74,80.6,11.5
5563839,Fortuna,US,1612983828,40.5982,-124.1573,1,81,55.99,3.98
3412093,Vestmannaeyjar,IS,1612983789,63.4427,-20.2734,40,81,37.4,31.07
5866583,Saint Paul Harbor,US,1612983829,57.79,-152.4072,90,81,37.4,18.41
3582228,Stann Creek Town,BZ,1612983829,16.9692,-88.2321,40,66,87.01,11.5
3421765,Nanortalik,GL,1612983829,60.1432,-45.2371,49,89,26.6,9.6
934322,Mahébourg,MU,1612983829,-20.4081,57.7,40,74,80.6,11.5
3652764,Puerto Ayora,EC,1612983830,-0.7393,-90.3518,75,83,80.6,3.44
3466980,Caravelas,BR,1612983830,-17.7125,-39.2481,0,64,82.26,9.01
6113828,Provost,CA,1612983830,52.3501,-110.2683,100,63,-20.2,14.97
3663516,Mâncio Lima,BR,1612983830,-7.6142,-72.8958,75,70,89.6,8.05
2980915,Arrondissement de Saint-Denis,FR,1612983567,48.9167,2.3333,90,68,27.0,11.5
3430443,Necochea,AR,1612983831,-38.5473,-58.7368,47,64,73.0,8.01
5491487,Silver City,US,1612983648,32.7701,-108.2803,90,17,59.0,11.5
3421719,Narsaq,GL,1612983832,60.9167,-46.05,20,25,33.8,26.46
5746545,Portland,US,1612983503,45.5234,-122.6762,75,75,42.01,1.21
6089245,Norman Wells,CA,1612983833,65.282,-126.8329,40,67,-34.6,6.51
3372472,Vila Franca do Campo,PT,1612983833,37.7167,-25.4333,20,88,61.0,19.57
6355222,Yulara,AU,1612983833,-25.2406,130.9889,40,58,86.0,6.91
1651810,Airai,TL,1612983833,-8.9266,125.4092,100,100,61.09,1.45
2152659,Port Macquarie,AU,1612983833,-31.4333,152.9167,62,99,62.01,3.87
5983720,Iqaluit,CA,1612983834,63.7506,-68.5145,75,79,12.2,2.3
4485355,Piney Green,US,1612983834,34.716,-77.3202,75,47,55.99,11.5
1214026,Sabang,ID,1612983834,5.8933,95.3214,64,78,81.61,7.99
1855540,Naze,JP,1612983834,28.3667,129.4833,100,66,58.86,14.03
2618795,Klaksvík,FO,1612983835,62.2266,-6.589,33,79,21.2,7.0
2392087,Porto-Novo,BJ,1612983835,6.4965,2.6036,20,84,86.0,13.8
5993072,Kitimat,CA,1612983604,54.0524,-128.6534,0,57,8.01,1.01
4033557,Tautira,PF,1612983835,-17.7333,-149.15,20,69,82.0,24.16
4021858,Guerrero Negro,MX,1612983836,27.9769,-114.0611,90,61,60.62,15.17
1633419,Padang,ID,1612983701,-0.9492,100.3543,20,83,75.2,3.44
3394605,Monte Alegre,BR,1612983836,-2.0078,-54.0692,100,78,79.52,4.21
1635815,Maumere,ID,1612983836,-8.6199,122.2111,99,78,80.1,2.37
3137469,Sørland,NO,1612983834,67.667,12.6934,40,69,28.4,6.91
3699980,Yaviza,PA,1612983837,8.1537,-77.6931,53,66,86.63,4.54
6185377,Yellowknife,CA,1612983567,62.456,-114.3525,20,70,-8.0,8.05
6145425,Shaunavon,CA,1612983837,49.6501,-108.4181,100,69,-20.2,12.66
5983607,Inuvik,CA,1612983838,68.3499,-133.7218,0,68,-29.2,4.61
2020591,Magdagachi,RU,1612983838,53.45,125.8,100,93,-0.98,6.6
5131638,Plainview,US,1612983766,40.7765,-73.4673,1,43,34.0,6.91
1804169,Lengshuijiang,CN,1612983838,27.6881,111.4294,97,90,49.05,2.42
